ScientificName,VernacularName
Platycnemis pennipes,Blue Featherleg
Asplenium ruta-muraria,Wall rue
Calopteryx virgo,Beautiful Demoiselle
Cygnus olor,Mute Swan
Mikiola fagi,Mikiola+fagi
Corvus cornix,Hooded Crow
Columba livia forma domestica,Columba+livia+forma+domestica
Alces alces,Elk
Leptinotarsa decemlineata,Colorado Beetle
Betula spec.,Betula+spec.
Geotrupini indet.,Geotrupini+indet.
Chrysochraon dispar,Large Golden Grasshopper
Calidris alba,Sanderling
Helophilus pendulus,Helophilus+pendulus
Mercurialis perennis,Dog's Mercury
Tanacetum vulgare,Tansy
Aglais urticae,Small Tortoiseshell
Impatiens parviflora,Small Balsam
Stercorarius parasiticus,Parasitic Jaeger
Epiblema foenella,Epiblema+foenella
Ardea cinerea cinerea,Grey Heron ssp cinerea
Falco peregrinus,Peregrine Falcon
Erebia aethiops,Scotch Argus
Polistes dominula,European Paper Wasp
Acrocephalus schoenobaenus,Sedge Warbler
Apis mellifera,Honey bee
Emberiza citrinella,Yellowhammer
Lanius collurio,Red-backed Shrike
Omocestus viridulus,Common Green Grasshopper
Rutpela maculata,Rutpela+maculata
Dorcus parallelipipedus,Lesser Stag Beetle
Arctia caja,Garden Tiger
Polyommatus icarus,Common Blue
Issoria lathonia,Queen of Spain Fritillary
Nucifraga caryocatactes,Spotted Nutcracker
Geotrupes stercorosus,Geotrupes+stercorosus
Sphinx pinastri,Pine Hawk-moth
Oedipoda caerulescens,Blue-winged Grasshopper
Lycaena phlaeas,Small Copper
Aglais io,Peacock
Aphantopus hyperantus,Ringlet
Sympetrum spec.,Sympetrum+spec.
Gymnadenia conopsea,Chalk Fragrant-orchid
Hydroprogne caspia,Caspian Tern
Helophilus trivittatus,Trivittate Marsh Fly
Melitaea diamina,False Heath Fritillary
Ciconia nigra,Black Stork
Asarum europaeum,Asarabacca
Araschnia levana,Map Butterfly
Pica pica,Eurasian Magpie
Lycaena virgaureae,Scarce Copper
Cetonia aurata,Rose Chafer
Motacilla flava,Western Yellow Wagtail
Luscinia svecica,Bluethroat
Heptagenia flava,Heptagenia+flava
Volucella zonaria,Volucella+zonaria
Emberiza schoeniclus,Common Reed Bunting
Vespa crabro,Hornet
Eristalis tenax,Drone Fly
Chorthippus albomarginatus,Lesser Marsh Grasshopper
Harmonia axyridis f. spectabilis,Harmonia+axyridis+f.+spectabilis
Haliaeetus albicilla,White-tailed Eagle
Circus aeruginosus,Western Marsh Harrier
Nymphalis antiopa,Camberwell Beauty
Stachys palustris,Marsh Woundwort
Dendrocopos leucotos,White-backed Woodpecker
Vanessa atalanta,Red Admiral
Acrocephalus paludicola,Aquatic Warbler
Dendrocoptes medius,Middle Spotted Woodpecker
Chelidonium majus,Greater Celandine
Tringa glareola,Wood Sandpiper
Oxythyrea funesta,White Spotted Rose Chafer beetle
Cardamine bulbifera,Coralroot
Melampyrum pratense,Common Cow-wheat
Mimas tiliae,Lime Hawk-moth
Calopteryx splendens,Banded Demoiselle
Thyatira batis,Peach Blossom
Chorthippus brunneus,Field Grasshopper
Papilio machaon,Swallowtail
Phegopteris connectilis,Beech Fern
Epipactis atrorubens,Dark red Helleborine
Coccinella septempunctata,Seven-spot Ladybird
Chroicocephalus ridibundus,Black-headed Gull
Stenurella melanura,Stenurella+melanura
Argynnis paphia,Silver-washed Fritillary
Grus grus,Common Crane
Paris quadrifolia,Herb Paris
Sambucus racemosa,Red berried Elder
Picus canus,Grey-headed Woodpecker
Tenebrio molitor,Mealworm beetle
Phylloscopus collybita,Common Chiffchaff
Galeopsis speciosa,Large flowered Hemp nettle
Upupa epops,Eurasian Hoopoe
Xestia c-nigrum,Setaceous Hebrew Character
Garrulus glandarius,Eurasian Jay
Digitalis spec.,Digitalis+spec.
Sphaerophoria spec.,Sphaerophoria+spec.
Trientalis europaea,Chickweed Wintergreen
Corvus frugilegus,Rook
Pyrrhocoris apterus,Firebug
Bombina variegata,Yellow-bellied Toad
Lomaspilis marginata,Clouded Border
Epilobium hirsutum,Great Hairy Willowherb
Orthetrum cancellatum,Black-tailed Skimmer
Glischrochilus quadrisignatus,Glischrochilus+quadrisignatus
Chlidonias leucopterus,White-winged Tern
Sympetrum sanguineum,Ruddy Darter
Carpodacus erythrinus,Common Rosefinch
Butomus umbellatus,Flowering-rush
Trichodes apiarius,Trichodes+apiarius
Jynx torquilla,Eurasian Wryneck
Myodes glareolus,Bank Vole
Poecile montanus,Willow Tit
Impatiens glandulifera,Himalayan Balsam
Pholidoptera griseoaptera,Dark Bush-cricket
Episyrphus balteatus,Marmalade hoverfly
Podiceps grisegena,Red-necked Grebe
Cydalima perspectalis,Box-tree Moth
Echium vulgare,Common viper's bugloss
Ciconia ciconia,White Stork
Rhagonycha fulva,Common Red Soldier Beetle
Geotrupes vernalis,Spring dor beetle
Sterna hirundo,Common Tern
Clanga pomarina,Lesser Spotted Eagle
Syritta pipiens,Syritta+pipiens
Ardea alba,Great Egret
Dactylorhiza viridis,Frog Orchid
Geotrupidae indet.,Geotrupidae+indet.
Chorthippus dorsatus,Steppe grasshopper
Amphimallon solstitiale,Summer Chafer
Melampyrum sylvaticum,Small Cow wheat
Tetrastes bonasia,Hazel Grouse
Prionus coriarius,Tanner Beetle
Cerambycidae indet.,Cerambycidae+indet.
Lycaena tityrus,Sooty Copper
Aromia moschata,Musk beetle
Myrmeleotettix maculatus,Mottled Grasshopper
Stenurella nigra,Stenurella+nigra
Calliptamus italicus,Italian Locust
Polemonium caeruleum,Jacob's-ladder
Achillea spec.,Achillea+spec.
Hylotrupes bajulus,Old house borer
Phoenicurus ochruros,Black Redstart
Motacilla cinerea,Grey Wagtail
Spilosoma lutea,Buff Ermine
Phengaris arion,Large Blue
Ailanthus altissima,Tree-of-Heaven
Lilium martagon,Martagon lily
Vanessa cardui,Painted Lady
Symphyta indet.,Symphyta+indet.
Aporia crataegi,Black-veined White
Polygonia c-album,Comma Butterfly
Melolontha melolontha,Cockchafer
Emberiza calandra,Corn Bunting
Eristalis pertinax,Tapered Dronefly
Coenonympha pamphilus,Small Heath
Leptura quadrifasciata,Leptura+quadrifasciata
Argiope bruennichi,Wasp Spider
Talpa europaea,European Mole
Anchusa officinalis,Alkanet
Volucella pellucens,Volucella+pellucens
Vulpes vulpes,Red Fox
Carabus coriaceus,Carabus+coriaceus
Chloantha hyperici,Pale-shouldered Cloud
Amanita muscaria,Fly Agaric
Anthus trivialis,Tree Pipit
Mantis religiosa,Praying Mantis
Chorthippus biguttulus-group,Chorthippus+biguttulus-group
Melanargia galathea,Marbled White
Saxicola rubicola,European Stonechat
Furcula bicuspis,Alder Kitten
Conocephalus spec.,Conocephalus+spec.
Viscum album,Mistletoe
Stenobothrus lineatus,Stripe-winged Grasshopper
Phylloscopus sibilatrix,Wood Warbler
Celastrina argiolus,Holly Blue
Calidris canutus,Red Knot
Anomala dubia,Dune chafer
Cossus cossus,Goat Moth
Gryllus campestris,Field Cricket
Stictoleptura rubra,Stictoleptura+rubra
Rhynocoris iracundus,Red Assassin Bug
Agapeta zoegana,Agapeta+zoegana
Passer montanus,Eurasian Tree Sparrow
Glaucidium passerinum,Eurasian Pygmy Owl
Erebia medusa,Woodland Ringlet
Sciurus vulgaris,Eurasian Red Squirrel
Maniola jurtina,Meadow Brown
Drosera rotundifolia,Round leaved Sundew
Buteo buteo,Common Buzzard
Mycelis muralis,Wall lettuce
Serica brunnea,Brown Chafer
Chiasmia clathrata,Latticed Heath
Diaperis boleti,Diaperis+boleti
Capreolus capreolus,European Roe Deer
Chorthippus apricarius,Upland Field Grasshopper
Dactylorhiza incarnata subsp. ochroleuca,Dactylorhiza+incarnata+subsp.+ochroleuca
Onychogomphus forcipatus,Small Pincertail
Acronicta aceris,The Sycamore
Gryllotalpa gryllotalpa,Mole cricket
Decticus verrucivorus,Wart-Biter
Calidris alpina,Dunlin
Picoides tridactylus,Eurasian Three-toed Woodpecker
Anania hortulata,Small Magpie
Graphosoma italicum,Striped shield bug
Chorthippus spec.,Chorthippus+spec.
Palomena prasina,Green Shieldbug
Tetrix subulata,Slender Ground-hopper
Cystopteris fragilis,Brittle Bladder Fern
Cyllecoris histrionius,Cyllecoris+histrionius
Stenotus binotatus,Stenotus+binotatus
Bufo bufo,Common Toad
Coenosia tigrina,Coenosia+tigrina
Lanius excubitor,Great Grey Shrike
Gonepteryx rhamni,Brimstone
Filipendula ulmaria,Meadowsweet
Phasianus colchicus,Common Pheasant
Campaea margaritaria,Light Emerald
Dendrocopos major,Great Spotted Woodpecker
Muscicapa striata,Spotted Flycatcher
Rhizocarpon lecanorinum,Crescent map lichen
Gentiana asclepiadea,Willow Gentian
Maianthemum bifolium,May Lily
Turdus pilaris,Fieldfare
Pseudochorthippus parallelus,Meadow Grasshopper
Carpocoris fuscispinus,Carpocoris+fuscispinus
Phryganea grandis,Phryganea+grandis
Roeseliana roeselii,Roesel's Bush-cricket
Oriolus oriolus,Eurasian Golden Oriole
Phyllopertha horticola,Garden Chafer
Coenagrion puella,Azure Bluet
Pieris napi,Green-veined White
Xylotrechus rusticus,Xylotrechus+rusticus
Dolycoris baccarum,Hairy Shieldbug
Parnassia palustris,Grass of Parnassus
Ficedula albicollis,Collared Flycatcher
Spilosoma lubricipeda,White Ermine
Pinthaeus sanguinipes,Pinthaeus+sanguinipes
Stethophyma grossum,Large Marsh Grasshopper
Ethmia quadrillella,Ethmia+quadrillella
Podiceps nigricollis,Black-necked Grebe
Harmonia axyridis,Harlequin ladybird
Iphiclides podalirius,Scarce Swallowtail
Volucella bombylans,Volucella+bombylans
Swertia perennis,Felwort
Solanum dulcamara,Bittersweet
Poecile palustris,Marsh Tit
Perca fluviatilis,European perch
Gonocerus acuteangulatus,Box bug
Anthus campestris,Tawny Pipit
Cteniopus sulphureus,Cteniopus+sulphureus
Synanthedon formicaeformis,Red-tipped Clearwing
Petasites spurius,Petasites+spurius
Rissa tridactyla,Black-legged Kittiwake
Corizus hyoscyami,Cinnamon bug
Juniperus communis,Juniper
Xylota sylvarum,Xylota+sylvarum
Porzana porzana,Spotted Crake
Nepa cinerea,Water scorpion
Thanasimus formicarius,Thanasimus+formicarius
Linaria cannabina,Common Linnet
Lysimachia vulgaris,Garden yellow loosestrife
Protaetia marmorata,Protaetia+marmorata
Prunella vulgaris,Selfheal
Nemophora degeerella,Longhorn Moth
Chrysotoxum fasciolatum,Chrysotoxum+fasciolatum
Andrena fulva,Tawny Mining Bee
Harpyia milhauseri,Tawny Prominent
Harmonia axyridis f. succinea,Harmonia+axyridis+f.+succinea
Chrysops relictus,Chrysops+relictus
Lacerta agilis,Sand Lizard
Apatura ilia,Lesser Purple Emperor
Eriothrix rufomaculatus,Eriothrix+rufomaculatus
Neottia ovata,Common Twayblade
Chrysanthia geniculata,Chrysanthia+geniculata
Psychoda alternata,Psychoda+alternata
Pieris brassicae,Large White
Lycaena alciphron,Purple-shot Copper
Oryctes nasicornis,European Rhinoceros Beetle
Psyllobora vigintiduopunctata,22 spot ladybird
Serinus serinus,European Serin
Melampyrum nemorosum agg.,Melampyrum+nemorosum+agg.
Melitaea didyma,Spotted Fritillary
Larus cachinnans,Caspian Gull
Pseudovadonia livida,Fairy-ring Longhorn Beetle
Sedum acre,Biting Stonecrop
Macroglossum stellatarum,Humming-bird Hawk Moth
Hirundo rustica,Barn Swallow
Huperzia selago,Fir clubmoss
Adelphocoris lineolatus,Lucerne Bug
Meliscaeva auricollis,Meliscaeva+auricollis
Eragrostis minor,Lesser love grass
Falco tinnunculus,Common Kestrel
Milvus milvus,Red Kite
Armoracia rusticana,Horse-radish
Ardea cinerea,Grey Heron
Chrysolina fastuosa,Dead-Nettle Leaf Beetle
Cichorium intybus,Chicory
Nycticorax nycticorax,Black-crowned Night Heron
Medicago falcata,Sickle Medick
Ematurga atomaria,Common Heath
Fringilla coelebs,Common Chaffinch
Coreus marginatus,Coreus+marginatus
Thymelicus sylvestris,Small Skipper
Euplexia lucipara,Small Angle Shades
Tettigonia cantans,Upland Green Bush-cricket
Comarum palustre,Marsh Cinquefoil
Clytra quadripunctata,Clytra+quadripunctata
Tropidia scita,Tropidia+scita
Pentatoma rufipes,Red-legged Shieldbug
Spondylis buprestoides,Spondylis+buprestoides
Gentiana punctata,Spotted gentian
Melitaea cinxia,Glanville Fritillary
Deltote bankiana,Silver Barred
Tetrix undulata,Common Ground-hopper
Pheosia tremula,Swallow Prominent
Ononis arvensis,Field restharrow
Miridae indet.,Miridae+indet.
Echinocystis lobata,Wild mockcucumber
Saturnia pavonia,Emperor Moth
Gonioctena decemnotata,Gonioctena+decemnotata
Lymantria dispar,Gypsy Moth
Zootoca vivipara,Common Lizard
Motacilla citreola,Citrine Wagtail
Sus scrofa,Wild Boar
Saxicola rubetra,Whinchat
Pandion haliaetus,Osprey
Libellula fulva,Scarce Chaser
Veratrum album,White false hellebore
Brenthis daphne,Marbled Fritillary
Acontia trabealis,Spotted Sulphur
Pseudopanthera macularia,Speckled Yellow
Berteroa incana,Hoary Alison
Chrysotoxum bicinctum,Two-banded Wasp Hoverfly
Phaneroptera falcata,Sickle-bearing Bush-cricket
Eristalis spec.,Eristalis+spec.
Euplagia quadripunctaria,Jersey Tiger
Dolichus halensis,Dolichus+halensis
Acer campestre,Field Maple
Luscinia luscinia,Thrush Nightingale
Prunella collaris,Alpine Accentor
Oiceoptoma thoracicum,Red-breasted Carrion Beetle
Calla palustris,Bog Arum
Lucanus cervus,Stag Beetle
Delichon urbicum,Common House Martin
Cervus elaphus,Red Deer
Picus viridis,European Green Woodpecker
Barbitistes constrictus,Eastern Saw-tailed Bush cricket
Agrypnus murina,Agrypnus+murina
Larus michahellis,Yellow-legged Gull
Securigera varia,Crown Vetch
Scardinius erythrophthalmus,Rudd
Calidris pugnax,Ruff
Anax parthenope,Lesser Emperor
Rhaphigaster nebulosa,Mottled Shieldbug
Clytra laeviuscula,Clytra+laeviuscula
Thymelicus lineola,Essex Skipper
Diacrisia sannio,Clouded Buff
Ephemera danica,Green drake
Charanyca trigrammica,Treble Lines
Pyrochroa coccinea,Black-headed Cardinal Beetle
Oxycarenus lavaterae,Oxycarenus+lavaterae
Leptophyes punctatissima,Speckled Bush-cricket
Rhynocoris annulatus,Rhynocoris+annulatus
Rhagium inquisitor,Ribbed pine borer
Lygus spec.,Lygus+spec.
Rhabdomiris striatellus,Striped Oak Bug
Alliaria petiolata,Garlic Mustard
Speyeria aglaja,Dark Green Fritillary
Aiolopus thalassinus,Aiolopus+thalassinus
Apatura iris,Purple Emperor
Stagonomus venustissimus,Woundwort Shieldbug
Pantilius tunicatus,Pantilius+tunicatus
Trachea atriplicis,Orache Moth
Carpocoris purpureipennis,Carpocoris+purpureipennis
Orthops spec.,Orthops+spec.
Chorthippus biguttulus,Bow-winged grasshopper
Grypocoris sexguttatus,Grypocoris+sexguttatus
Tettigonia viridissima,Great Green Bush-cricket
Geometra papilionaria,Large Emerald
Isophya spec.,Isophya+spec.
Hepatica nobilis,Liverleaf
Fagus sylvatica,Common Beech
Pennisetia hylaeiformis,Raspberry clearwing
Synanthedon spheciformis,White-barred Clearwing
Chaerophyllum aromaticum,Broad-leaved Chervil
Ranatra linearis,Water Stick-insect
Aphodius distinctus,Aphodius+distinctus
Morus bassanus,Northern Gannet
Phosphuga atrata,Black Snail Beetle
Notodonta dromedarius,Iron Prominent
Pheosia gnoma,Lesser Swallow Prominent
Lampyris noctiluca,Glow-worm
Kleidocerys resedae,Kleidocerys+resedae
Mythimna albipuncta,White-point
Evergestis forficalis,Evergestis+forficalis
Strix aluco,Tawny Owl
Limax cinereoniger,Ash-black Slug
Calliteara pudibunda,Pale Tussock
Ampedus sanguinolentus,Ampedus+sanguinolentus
Ficaria verna,Lesser Celandine
Periparus ater,Coal Tit
Gluphisia crenata,Dusky Marbled Brown
Ligdia adustata,Scorched Carpet
Drymonia dodonaea,Marbled Brown
Sympecma paedisca,Siberian Winter Damsel
Remiz pendulinus,Eurasian Penduline Tit
Alauda arvensis,Eurasian Skylark
Gomphus vulgatissimus,Common Clubtail
Squalius cephalus,Chub
Passer domesticus,House Sparrow
Pyrrhosoma nymphula,Large Red Damselfly
Sitta europaea,Eurasian Nuthatch
Trichodes alvearius,Trichodes+alvearius
Craniophora ligustri,The Coronet
Colocasia coryli,Nut-tree Tussock
Lomographa bimaculata,White-pinion Spotted
Diaphora mendica,Muslin Moth
Phalera bucephala,Buff-tip
Ficedula parva,Red-breasted Flycatcher
Pelobates fuscus,Common Eurasian Spadefoot
Corylus avellana,Common Hazel
Stellaria holostea,Greater Stitchwort
Agrotis exclamationis,Heart and Dart
Tussilago farfara,Colt's-foot
Galium odoratum,Woodruff
Petrophora chlorosata,Brown Silver-line
Cordulia aenea,Downy Emerald
Cygnus cygnus,Whooper Swan
Ulmus spec.,Ulmus+spec.
Geum rivale,Water Avens
Helix pomatia,Escargot
Perdix perdix,Grey Partridge
Taraxacum spec.,Taraxacum+spec.
Sylvia atricapilla,Eurasian Blackcap
Streptopelia decaocto,Eurasian Collared Dove
Aeshna isoceles,Green-eyed Hawker
Euthrix potatoria,Drinker
Brachycentrus subnubilus,Grannom or Greentail
Anser anser,Greylag Goose
Pseudoips prasinana,Green Silver-lines
Nicrophorus humator,Black Sexton Beetle
Ilex aquifolium,Holly
Anemone nemorosa,Wood Anemone
Mergus merganser,Common Merganser
Scoliopteryx libatrix,Herald
Bucephala clangula,Common Goldeneye
Epidalea calamita,Natterjack
Chlidonias hybrida,Whiskered Tern
Myotis myotis,Greater Mouse-eared Bat
Strix uralensis,Ural Owl
Esox lucius,Northern pike
Hypena rostralis,Buttoned Snout
Limenitis populi,Poplar Admiral
Ptilodon capucina,Coxcomb Prominent
Hypena proboscidalis,Snout
Lamium purpureum,Red Dead-nettle
Oenanthe oenanthe,Northern Wheatear
Phalacrocorax carbo,Great Cormorant
Viburnum opulus,Guelder-rose
Arion rufus/vulgaris,Red Slug
Carabus clatratus,Carabus+clatratus
Rana temporaria,Common Frog
Brachytron pratense,Hairy Hawker
Canis lupus,Wolf
Sorex araneus/coronatus,Common Shrew
Spinus spinus,Eurasian Siskin
Hyoscyamus niger,Black henbane
Macrothylacia rubi,Fox Moth
Cataclysta lemnata,Small China-mark
Ochropleura plecta,Flame Shoulder
Callophrys rubi,Green Hairstreak
Cabera exanthemata,Common Wave
Libellula depressa,Broad-bodied Chaser
Deltote deceptoria,Pretty Marbled
Denticollis linearis,Denticollis+linearis
Clostera curtula,Chocolate-tip
Ecliptopera silaceata,Small Phoenix
Rangia cuneata,Atlantic Rangia
Galium aparine,Cleavers
Ischnura elegans,Common Bluetail
Glechoma hederacea,Ground-ivy
Lutra lutra,Eurasian Otter
Teesdalia nudicaulis,Barestem teesdalia
Accipiter nisus,Eurasian Sparrowhawk
Vertigo moulinsiana,Desmoulin's whorl snail
Sturnus vulgaris,Common Starling
Cobitis taenia,Spined loach
Chloris chloris,European Greenfinch
Botaurus stellaris,Eurasian Bittern
Lysimachia nummularia,Creeping-Jenny
Pleuroptya ruralis,Mother of Pearl
Parus major,Great Tit
Silene flos-cuculi,Ragged Robin
Pelurga comitata,Dark Spinach
Abraxas sylvata,Clouded Magpie
Emberiza hortulana,Ortolan Bunting
Veronica officinalis,Heath Speedwell
Bembix rostrata,Common European Sand Wasp
Ichneumoninae indet.,Ichneumoninae+indet.
Veronica longifolia,Long leaved Speedwell
Lepus europaeus,European Hare
Falcaria lacertinaria,Scalloped Hook-tip
Gallinago gallinago,Common Snipe
Phragmatobia fuliginosa,Ruby Tiger
Idaea emarginata,Small Scallop
Meconema thalassinum,Oak Bush-cricket
Spargania luctuata,White-banded Carpet
Natrix natrix,European Grass Snake
Tryphoninae indet.,Tryphoninae+indet.
Deilephila porcellus,Small Elephant Hawk-moth
Epione repandaria,Bordered Beauty
Cochlodina laminata,Plaited door snail
Xorides spec.,Xorides+spec.
Lasioglossum spec.,Lasioglossum+spec.
Leucoma salicis,White Satin Moth
Calamia tridens,Burren Green
Campopleginae indet.,Campopleginae+indet.
Callimorpha dominula,Scarlet Tiger
Netelia spec.,Netelia+spec.
Sphex funerarius,Sphex+funerarius
Coenonympha glycerion,Chestnut Heath
Silene viscaria,Sticky Catchfly
Thymelicus spec.,Thymelicus+spec.
Brachycera indet.,Brachycera+indet.
Faxonius limosus,Spinycheek Crayfish
Ennomos spec.,Ennomos+spec.
Persicaria bistorta,Common Bistort
Melitaea athalia,Heath Fritillary
Somatochlora metallica,Brilliant Emerald
Columba palumbus,Common Wood Pigeon
Dactylorhiza fuchsii,Common Spotted Orchid
Leptidea sinapis / juvernica,Wood White
Lathraea squamaria,Toothwort
Clanga clanga,Greater Spotted Eagle
Notodonta ziczac,Pebble Prominent
Corvus corax,Northern Raven
Lysimachia thyrsiflora,Tufted loosestrife
Nuphar lutea,Yellow Water-lily
Cirsium rivulare,Brook Thistle
Thetidia smaragdaria,Essex Emerald
Erithacus rubecula,European Robin
Turdus philomelos,Song Thrush
Motacilla alba,White Wagtail
Valeriana officinalis,Common Valerian
Circus pygargus,Montagu's Harrier
Allium ursinum,Ramsons
Euproctis similis,Yellow-tail
Stellaria nemorum,Wood stitchwort
Dianthus carthusianorum,Carthusian Pink
Rhododendron tomentosum subsp. tomentosum,Eurasian Labrador Tea
Alcedo atthis,Common Kingfisher
Turdus viscivorus,Mistle Thrush
Epirrhoe alternata,Common Carpet
Turdus merula,Common Blackbird
Anas platyrhynchos,Mallard
Thalictrum flavum,Common Meadow rue
Physocarpus opulifolius,Nine bark
Vanellus vanellus,Northern Lapwing
Hippolais icterina,Icterine Warbler
Charadrius dubius,Little Ringed Plover
Veronica triphyllos,Fingered Speedwell
Drepana falcataria,Pebble Hook-tip
Fragaria vesca,Woodland strawberry
Chlidonias niger,Black Tern
Castor fiber,Eurasian Beaver
Troglodytes troglodytes,Eurasian Wren
Pedicularis palustris,Marsh Lousewort
Centaurea cyanus,Cornflower
Hydrelia flammeolaria,Small Yellow Wave
Cornus sanguinea,Dogwood
Riparia riparia,Sand Martin
Camptogramma bilineata,Yellow Shell
Scirpus sylvaticus,Wood Club-rush
Cynips quercusfolii,Cynips+quercusfolii
Euclidia glyphica,Burnet Companion
Curruca nisoria,Barred Warbler
Convolvulus arvensis,Common Bindweed
Menyanthes trifoliata,Bogbean
Panolis flammea,Pine Beauty
Potentilla argentea,Hoary Cinquefoil
Carduelis carduelis,European Goldfinch
Vicia lutea,Yellow vetch
Coccothraustes coccothraustes,Hawfinch
Aix galericulata,Mandarin Duck
Potentilla anserina,Silverweed
Sanicula europaea,Sanicle
Polygonatum multiflorum,Solomon's-seal
Plantago lanceolata,Ribwort Plantain
Veronica spicata,Spiked speedwell
Erythromma najas,Large Redeye
Stratiotes aloides,Water Soldier
Lycopus europaeus,Gipsywort
Ceratophyllum demersum,Rigid Hornwort
Knautia arvensis,Field Scabious
Pinus sylvestris,Scots pine
Xanthoria parietina,Common orange lichen
Circaea lutetiana,Enchanter's-nightshade
Ficedula hypoleuca,European Pied Flycatcher
Hydrocharis morsus-ranae,Frogbit
Carex demissa,Common Yellow-sedge
Circaea alpina,Alpine Enchanter's-nightshade
Geranium sanguineum,Bloody Crane's-bill
Cepaea hortensis,White-lipped snail
Lymnaea stagnalis,Great Pond Snail
Plantago media,Hoary plantain
Veronica arvensis,Wall speedwell
Crex crex,Corn Crake
Mesoleuca albicillata,Beautiful Carpet
Lythria cruentaria,Purple-barred Yellow
Apodemus agrarius,Striped Field Mouse
Actaea spicata,Baneberry
Acrocephalus arundinaceus,Great Reed Warbler
Oenanthe aquatica,Fine leaved Water dropwort
Dactylorhiza incarnata,Early Marsh Orchid
Betula pubescens,Downy birch
Clinopodium acinos,Basil Thyme
Ranunculus lingua,Greater Spearwort
Dryopteris filix-mas,Male-fern
Curruca communis,Common Whitethroat
Campanula patula,Spreading bellflower
Larus marinus,Great Black-backed Gull
Equisetum sylvaticum,Wood Horsetail
Veronica chamaedrys,Germander speedwell
Cepaea spec.,Cepaea+spec.
Peucedanum palustre,Milk Parsley
Agrostemma githago,Common corncockle
Lamium maculatum,Spotted Dead nettle
Impatiens noli-tangere,Touch-me-not Balsam
Erigeron canadensis,Canadian Fleabane
Cirsium palustre,Marsh thistle
Campanula trachelium,Nettle-leaved Bellflower
Hyla arborea,Common Tree Frog
Corydalis solida,Bird in a bush
Brenthis ino,Lesser Marbled Fritillary
Chrysosplenium alternifolium,Alternate-leaved Golden-saxifrage
Phoenicurus phoenicurus,Common Redstart
Trifolium medium,Zigzag clover
Acorus calamus,Sweet flag
Stachys sylvatica,Hedge Woundwort
Carex leporina,Oval Sedge
