ScientificName,VernacularName
Daphne mezereum,Mezereon
Campanula glomerata,Clustered Bellflower
Scabiosa columbaria,Small Scabious
Carex riparia,Greater Pond sedge
Equisetum fluviatile,Water horsetail
Scutellaria galericulata,Skullcap
Caltha palustris subsp. palustris,Marsh Marigold
Helichrysum arenarium,Strawflower
Cardamine pratensis,Cuckooflower
Adoxa moschatellina,Moschatel
Gagea pratensis,Gagea+pratensis
Molinia caerulea,Purple Moor grass
Cladonia coccifera,Cladonia+coccifera
Veronica hederifolia,Ivy-leaved Speedwell
Geranium molle,Dove's-foot Crane's-bill
Potamogeton perfoliatus,Perfoliate Pondweed
Quercus robur,Pedunculate Oak
Medicago sativa,Alfalfa
Athyrium filix-femina,Lady fern
Mentha aquatica,Water mint
Vaccinium oxycoccos,Small cranberry
Succisa pratensis,Devil's-bit Scabious
Carex diandra,Lesser Tussock sedge
Potamogeton lucens,Shining Pondweed
Andromeda polifolia,Bog-rosemary
Euphrasia stricta s.l.,Euphrasia+stricta+s.l.
Arianta arbustorum,Copse Snail
Centaurea jacea,Brown Knapweed
Herniaria glabra,Smooth rupturewort
Tilia cordata,Small-leaved Lime
Peridea anceps,Great Prominent
Clinopodium vulgare,Wild Basil
Centaurium erythraea,Common Centaury
Ficaria spec.,Ficaria+spec.
Carex appropinquata,Fibrous Tussock sedge
Trifolium arvense,Rabbitfoot clover
Cynosurus cristatus,Crested dogstail grass
Scleranthus perennis,Perennial knawel
Vincetoxicum hirundinaria,Common Vincetoxicum
Bombus sylvarum sylvarum,Bombus+sylvarum+sylvarum
Opisthograptis luteolata,Brimstone Moth
Larus canus,Common Gull
Primula veris,Cowslip
Populus tremula,Aspen
Lapsana communis,Common nipplewort
Oxalis acetosella,Wood sorrel
Triglochin palustris,Marsh arrowgrass
Anemone ranunculoides,Yellow Anemone
Geranium sylvaticum,Wood Crane's-bill
Galium palustre,Marsh-bedstraw
Lathyrus palustris,Marsh pea
Taraxacum officinale s.l. (incl. all sec.),Common dandelion
Vaccinium uliginosum,Bog Bilberry
Primula elatior,Oxlip
Vaccinium myrtillus,Bilberry
Salix cinerea subsp. cinerea,Grey Willow
Hottonia palustris,Water Violet
Carex lasiocarpa,Slender Sedge
Capsella bursa-pastoris,Shepard's Purse
Corydalis cava,Hollowroot
Solidago virgaurea,Goldenrod
Betula pendula,Silver Birch
Tringa ochropus,Green Sandpiper
Carterocephalus palaemon,Chequered Skipper
Eilema sororcula,Orange Footman
Anthonomus rectirostris,Anthonomus+rectirostris
Silene vulgaris,Bladder Campion
Erinaceus europaeus,Western Hedgehog
Consolida regalis,Forking Larkspur
Prunus spec.,Prunus+spec.
Stellaria media,Common Chickweed
Dianthus deltoides,Maiden Pink
Bellis perennis,Common Daisy
Lycaena helle,Violet Copper
Podiceps cristatus,Great Crested Grebe
Stellaria graminea,Grass-like starwort
Glyceria maxima,Reed Sweet-grass
Rhododendron tomentosum,Northern Labrador Tea
Convallaria majalis,Lily of the valley
Lota lota,Burbot
Melilotus albus,White Melilot
Pyrola rotundifolia,Round-leaved Wintergreen
Carex flava,Large Yellow sedge
Ranunculus auricomus,Goldilocks Buttercup
Schedonorus pratensis,Meadow Fescue
Utricularia intermedia,Intermediate Bladderwort
Carex paniculata,Greater Tussock-sedge
Hypericum perforatum,Perforate St John's-wort
Jasione montana,Sheep's-bit
Briza media,Quaking-grass
Cardamine impatiens,Narrow leaved Bitter cress
Galium verum,Lady's Bedstraw
Papaver rhoeas,Corn Poppy
Carpinus betulus,European hornbeam
Carex echinata,Star sedge
Epipactis palustris,Marsh Helleborine
Trifolium hybridum,Alsike clover
Dryocopus martius,Black Woodpecker
Geranium spec.,Geranium+spec.
Andrena hattorfiana,Large Scabious Mining Bee
Asteraceae spec.,Asteraceae+spec.
Eriophorum vaginatum,Hare's-tail Cottongrass
Lasiommata megera,Wall Brown
Coenagrion pulchellum,Variable Bluet
Charadrius hiaticula,Common Ringed Plover
Euphyia unangulata,Sharp-angled Carpet
Rivula sericealis,Straw Dot
Spinulum annotinum,Interrupted Clubmoss
Chrysomela populi,Red Poplar Leaf Beetle
Chamaenerion angustifolium,Fireweed
Rhodeus amarus,Bitterling
Parnassius mnemosyne,Clouded Apollo
Meconema meridionale,Southern Oak Bush-cricket
Leptophlebia marginata,Leptophlebia+marginata
Valeriana tripteris,Valeriana+tripteris
Diphyus spec.,Diphyus+spec.
Felis silvestris,Wild Cat
Staurophora celsia,Malachite Moth
Geum urbanum,Wood Avens
Barbastella barbastellus,Barbastelle Bat
Smerinthus ocellatus,Eyed Hawk Moth
Dendrolimus pini,Pine-tree Lappet
Ichneumon cessator,Ichneumon+cessator
Hoplismenus terrificus,Hoplismenus+terrificus
Rhyssa persuasoria,Giant Ichneumon
Aconitum spec.,Aconitum+spec.
Diphyus amatorius,Diphyus+amatorius
Veronica anagallis-aquatica,Blue Water speedwell
Branta bernicla,Brant Goose
Laetiporus sulphureus,Chicken Of The Woods
Anthemis tinctoria,Yellow Chamomile
Viola arvensis,Field Pansy
Linaria vulgaris,Common Toadflax
Salvia pratensis,Meadow Clary
Melampyrum nemorosum,Wood Cow wheat
Idaea muricata,Purple-bordered Gold
Cyanistes caeruleus,Eurasian Blue Tit
Sternula albifrons,Little Tern
Siona lineata,Black-veined Moth
Ajuga reptans,Bugle
Rubus idaeus,Raspberry
Sagittaria sagittifolia,Arrowhead
Symphytum officinale,Common comfrey
Dryobates minor,Lesser Spotted Woodpecker
Coenonympha tullia,Large Heath
Tragopogon pratensis,Goat's beard
Curruca curruca,Lesser Whitethroat
Vipera berus,Northern Viper
Silene latifolia,White Campion
Tringa nebularia,Common Greenshank
Pelophylax spec.,Pelophylax+spec.
Iris pseudacorus,Yellow Flag
Aix sponsa,Wood Duck
Arctornis l-nigrum,Black V Moth
Acer platanoides,Norway Maple
Atolmis rubricollis,Red-necked Footman
Hyppa rectilinea,The Saxon
Dactylorhiza majalis subsp. majalis,Dactylorhiza+majalis+subsp.+majalis
Phylloscopus trochilus,Willow Warbler
Apus apus,Common Swift
Carex panicea,Carnation Sedge
Carex hirta,Hairy Sedge
Carex vesicaria,Bladder-sedge
Cirsium oleraceum,Cabbage Thistle
Euphorbia helioscopia,Sun Spurge
Potamogeton natans,Broad leaved Pondweed
Bryonia dioica,White Bryony
Ranunculus lanuginosus,Ranunculus+lanuginosus
Thalictrum aquilegiifolium,Greater Meadow rue
Parmelia sulcata,Net-marked Parmelia
Gentiana pneumonanthe,Marsh Gentian
Sphagnum spec.,Sphagnum+spec.
Erpobdella octoculata,Leeches
Descurainia sophia,Flixweed
Linum catharticum,Fairy flax
Carex sylvatica,Wood-sedge
Usnea spec.,Usnea+spec.
Cladonia (Cladina) spec.,Cladonia+(Cladina)+spec.
Coccinella magnifica,Scarce 7-spot Ladybird
Milium effusum,Wood Millet
Malva moschata,Musk mallow
Blicca bjoerkna,White bream
Coloeus monedula,Western Jackdaw
Anomodon rugelii,Rugel's anomodon
Gymnocarpium dryopteris,Oak Fern
Dipsacus fullonum,Wild Teasel
Salix caprea,Goat willow
Abramis brama,Common bream
Carex flacca,Glaucous Sedge
Carex elata,Tufted-sedge
Carex remota,Remote Sedge
Thelypteris palustris,Marsh Fern
Calamagrostis epigejos,Chee Reedgrass
Nardus stricta,Mat grass
Nymphaea alba,European white waterlily
Rutilus rutilus,Roach
Potentilla erecta,Erect cinquefoil
Acer pseudoplatanus,Sycamore
Schoenoplectus lacustris,Common Club-rush
Mammalia indet.,Mammalia+indet.
Lotus pedunculatus,Greater Bird's-foot-trefoil
Ilyocoris cimicoides,Creeping water bug
Phyteuma spicatum,Spiked Rampion
Hieracium umbellatum,Umbellate Hawkweed
Salix alba,Salix+alba
Alnus glutinosa,Alder
Carex rostrata,Bottle Sedge
Unio tumidus,Swollen river mussel
Tilia platyphyllos,Large leaved Lime
Lichen indet.,Lichen+indet.
Valeriana dioica,Marsh valerian
Leonurus cardiaca,Motherwort
Erigeron acris,Blue Fleabane
Anthericum ramosum,Branched St Bernard's-lily
Rumex hydrolapathum,Water Dock
Carex nigra,Common Sedge
Cepaea nemoralis,Larger banded snail
Equisetum palustre,Marsh horsetail
Phragmites australis,Common reed
Platanthera bifolia,Lesser Butterfly-orchid
Leuctra spec.,Leuctra+spec.
Calluna vulgaris,Heather
Bryophyta indet.,Bryophyta+indet.
Tringa totanus,Common Redshank
Pavo cristatus,Indian Peafowl
Scolopax rusticola,Eurasian Woodcock
Filago germanica,Common Cudweed
Fringilla montifringilla,Brambling
Frangula alnus,Alder Buckthorn
Panurus biarmicus,Bearded Reedling
Humulus lupulus,Hop
Anguis fragilis,Slow Worm
Circus cyaneus,Hen Harrier
Philanthus triangulum,European Bee Wolf
Ophiogomphus cecilia,Green Snaketail
Sympetrum vulgatum,Moustached Darter
Pieris rapae,Small White
Dactylis glomerata,Cock's-foot
Geranium robertianum,Herb-Robert
Maladera holosericea,Maladera+holosericea
Diplolepis rosae,Rose Bedeguar Gall
Lycaena dispar,Large Copper
Nymphalis xanthomelas,Yellow-legged Tortoiseshell
Convolvulus sepium,Hedge Bindweed
Galeopsis tetrahit,Common Hemp nettle
Eurydema oleracea,Green cabbage bug
Podiceps auritus,Horned Grebe
Meles meles,Eurasian Badger
Sanguisorba officinalis,Great Burnet
Galeopsis pubescens,Hairy Hemp-nettle
Bombus terrestris/lucorum/magnus/cryptarum,Buff-tailed Bumblebee
Galinsoga parviflora,Gallant soldier
Artemisia vulgaris,Mugwort
Pelosia muscerda,Dotted Footman
Baccha elongata,Baccha+elongata
Dianthus arenarius,Sand Pink
Erebia euryale,Large Ringlet
Triphosa dubitata,Tissue
Veronica catenata,Pink Water-Speedwell
Petrorhagia saxifraga,Tunicflower
Aconitum napellus,Monk's-hood
Polygonum aviculare,Knotgrass
Aeshna cyanea,Southern Hawker
Dasypoda hirtipes,Pantaloon Bee
Platycis minutus,Platycis+minutus
Sympetrum flaveolum,Yellow-winged Darter
Daucus carota,Common Carrot
Pararge aegeria,Speckled Wood
Macaria brunneata,Rannoch Looper
Odontites vernus,Red Bartsia
Podalonia spec.,Podalonia+spec.
Geranium palustre,Geranium+palustre
Pilosella aurantiaca,Fox-and-cubs
Lissotriton montandoni,Carpathian Newt
Adenostyles alliariae,Adenostyles+alliariae
Coenonympha arcania,Pearly Heath
Galeopsis bifida,Lesser Hemp nettle
Lythrum salicaria,Purple loosestrife
Geranium pusillum,Small-flowered Crane's-bill
Sambucus nigra,Sambucus cerulea Sambucus nigra subsp. cerulea
Sparganium erectum,Simplestem bur-reed
Pernis apivorus,European Honey Buzzard
Aegithalos caudatus caudatus,White-headed Long-tailed Tit
Erigeron annuus,Tall Fleabane
Argynnis laodice,Pallas's Fritillary
Cheilosia illustrata,Cheilosia+illustrata
Xylota segnis,Orange-belted Leafwalker
Calvia decemguttata,Calvia 10-guttata
Silene baccifera,Berry Catchfly
Ballota nigra,Black horehound
Ischnura spec.,Ischnura+spec.
Bombus hypnorum,Tree Bumblebee
Dolichovespula media,Median Wasp
Ochlodes sylvanus,Large Skipper
Merops apiaster,European Bee-eater
Silpha obscura,Silpha+obscura
Tragopogon pratensis subsp. orientalis,Oriental Salsify
Scopula immorata,Lewes Wave
Achillea millefolium,Common yarrow
Alces alces alces,European Elk
Deilephila elpenor,Elephant Hawk-moth
Aeshna juncea,Common Hawker
Bidens spec.,Bidens+spec.
Saxifraga paniculata,Livelong Saxifrage
Anchusa arvensis,Bugloss
Stratiomys singularior,Stratiomys+singularior
Satyrium spini,Blue-spot Hairstreak
Bombus pascuorum,Common Carder Bumblebee
Arctium tomentosum,Woolly burdock
Origanum vulgare,Wild Marjoram
Silene pusilla,Alpine Catchfly
Strangalia attenuata,Strangalia+attenuata
Aricia agestis,Brown Argus
Autographa gamma,Silver Y
Syrphus spec.,Syrphus+spec.
Parnassius apollo,Apollo
Mentha arvensis,Corn Mint
Cakile maritima,Sea Rocket
Volucella inanis,Volucella+inanis
Scotopteryx chenopodiata,Shaded Broad-bar
Muscardinus avellanarius,Hazel Dormouse
Cirsium vulgare,Spear Thistle
Melampyrum spec.,Melampyrum+spec.
Angelica archangelica,Garden Angelica
Eupatorium cannabinum,Hemp-agrimony
Phacelia tanacetifolia,Phacelia
Filipendula vulgaris,Dropwort
Anthophora bimaculata,Green-eyed Flower Bee
Euonymus europaeus,Spindle
Myathropa florea,Batman Hoverfly
Verbascum spec.,Verbascum+spec.
Coleoptera indet.,Coleoptera+indet.
Saperda scalaris,Saperda+scalaris
Gymnosoma spec.,Gymnosoma+spec.
Clematis vitalba,Traveller's-joy
Polygonaceae spec.,Polygonaceae+spec.
Cimbex spec.,Cimbex+spec.
Salvinia natans,Floating Fern
Saponaria officinalis,Soapwort
Fallopia convolvulus,Black Bindweed
Bombina bombina,Fire-bellied toad
Clytus arietis,Clytus+arietis
Crocothemis erythraea,Broad Scarlet
Euphorbia cyparissias,Cypress spurge
Clytra spec.,Clytra+spec.
Cephenemyia stimulator,Cephenemyia+stimulator
Betonica officinalis,Betony
Timandra comae,Blood-vein
Saponaria officinalis (cultivar),Saponaria+officinalis+(cultivar)
Myricaria germanica,Myricaria+germanica
Limenitis camilla,White Admiral
Stenurella bifasciata,Stenurella+bifasciata
Libellula quadrimaculata,Four-spotted Chaser
Hydrophilus piceus,Hydrophilus+piceus
Panemeria tenebrata,Small Yellow Underwing
Xanthium orientale s.l. + Xanthium strumarium,Xanthium+orientale+s.l.+++Xanthium+strumarium
Monotropa hypopitys,Yellow Bird's-nest
Nyctereutes procyonoides,Raccoon Dog
Cordulegaster boltonii,Common Goldenring
Verbena bonariensis,Argentinian Vervain
Melica uniflora,Wood Melick
Protaetia metallica,Protaetia+metallica
Carcharodus alceae,Mallow Skipper
Bidens frondosa,Beggarticks
Upupa epops epops,Eurasian Hoopoe ssp epops
Salmo trutta fario,Salmo+trutta+fario
Fulica atra,Eurasian Coot
Picris hieracioides,Hawkweed oxtongue
Viola x wittrockiana,Viola+x+wittrockiana
Rumex acetosella,Sheep's Sorrel
Alchemilla spec.,Alchemilla+spec.
Ixodes spec.,Ixodes+spec.
Streptopelia turtur,European Turtle Dove
Mergellus albellus,Smew
Timandra comae/griseata,Blood-vein
Digitalis purpurea,Foxglove
Lestes sponsa,Common Spreadwing
Trifolium pratense,Red clover
Ailanthus spec.,Ailanthus+spec.
Ixobrychus minutus,Little Bittern
Astrantia spec.,Astrantia+spec.
Lathyrus sylvestris,Flat pea
Pinguicula alpina,Alpine Butterwort
Primula minima,Primula+minima
Propylea quatuordecimpunctata,14-spot Ladybird
Soldanella alpina,Alpine snowbell
Luscinia svecica cyanecula,White-spotted Bluethroat
Anthus spinoletta,Water Pipit
Clangula hyemalis,Long-tailed Duck
Lycopodium clavatum,Stag's-horn Clubmoss
Echinochloa crus-galli,Cockspur
Parascotia fuliginaria,Waved Black
Aruncus dioicus,Buck's-beard
Centaurea stoebe,Spotted knapweed
Geranium phaeum,Dusky Crane's-bill
Eupeodes corollae,Migrant Hover Fly
Tolmerus cingulatus,Brown Heath Robberfly
Cheilosia spec.,Cheilosia+spec.
Dactylorhiza spec.,Dactylorhiza+spec.
Myotis nattereri,Natterer's Bat
Aegopodium podagraria,Ground-elder
Anthocharis cardamines,Orange-tip
Campanula persicifolia,Peach-leaved Bellflower
Cantharis livida,Cantharis+livida
Temnostoma bombylans,Temnostoma+bombylans
Plecotus auritus,Brown Long-eared Bat
Lasiocampa quercus,Oak Eggar
Sympetrum striolatum,Common Darter
Spermophilus suslicus,Speckled Ground Squirrel
Potentilla indica,Yellow flowered Strawberry
Ichneumonidae indet.,Ichneumonidae+indet.
Limnephilus sparsus,Limnephilus+sparsus
Leucorrhinia caudalis,Lilypad Whiteface
Actitis hypoleucos,Common Sandpiper
Stratiomys potamida,Banded General
Regulus regulus,Goldcrest
Polyommatus amandus,Amanda's Blue
Hyla orientalis,Eastern Tree Frog
Lithospermum arvense,Field Gromwell
Gallinago media,Great Snipe
Vicia sepium,Bush vetch
Lamiastrum galeobdolon,Yellow archangel
Hedya salicella,Hedya+salicella
Scaeva selenitica,Scaeva+selenitica
Adela reaumurella,Adela+reaumurella
Heteropterus morpheus,Large Chequered Skipper
Panorpa alpina,Panorpa+alpina
Goodyera repens,Creeping Lady's-tresses
Eupithecia icterata,Tawny Speckled Pug
Spatula querquedula,Garganey
Lycia hirtaria,Brindled Beauty
Eumeninae indet.,Eumeninae+indet.
Myosotis scorpioides,Water Forget me not
Anisosticta novemdecimpunctata,Water ladybird
Notoxus monoceros,Notoxus+monoceros
Leucorrhinia pectoralis,Yellow-spotted Whiteface
Silvius alpinus,Silvius+alpinus
Aelia acuminata,Bishop's Mitre Shieldbug
Mniotype satura,Beautiful Arches
Procyon lotor,Northern Raccoon
Phlogophora meticulosa,Angle Shades
Melittis melissophyllum,Basterd Balm
Endromis versicolora,Kentish Glory
Acer negundo,Ash leaved Maple
Gortyna flavago,Frosted Orange
Ceratomegilla notata,Ceratomegilla+notata
Catoptria falsella,Catoptria+falsella
Lasiocampa trifolii,Grass Eggar
Euclidia mi,Mother Shipton
Pyrrhalta viburni,Viburnum Leaf Beetle
Chrysoteuchia culmella,Garden Grass-Veneer
Epipactis helleborine,Broadleaf helleborine
Ancistrocerus spec.,Ancistrocerus+spec.
Oenopia conglobata,Oenopia+conglobata
Mesembrina meridiana,Noon fly
Fabriciana adippe,High Brown Fritillary
Lycaena hippothoe,Purple-edged Copper
Melanostoma scalare,Melanostoma+scalare
Trichius fasciatus,Bee beetle
Ursus arctos,Brown Bear
Macropis europaea,Yellow-Loosestrife Bee
Xestia xanthographa,Square-spot Rustic
Glyphotaelius pellucidus,Mottled sedge
Boloria dia,Violet Fritillary
Agapanthia villosoviridescens,Agapanthia+villosoviridescens
Boloria selene,Small Pearl-bordered Fritillary
Erynnis tages,Dingy Skipper
Mesapamea secalis / secalella,Common Rustic
Achillea ptarmica,Sneezewort
Homogyne alpina,Purple Colt's foot
Hesperia comma,Silver-spotted Skipper
Carduus nutans,Nodding Thistle
Catocala nupta,Red Underwing
Oncocera semirubella,Oncocera+semirubella
Diachrysia chrysitis,Burnished Brass
Rana arvalis,Moor Frog
Hada plebeja,The Shears
Digitalis grandiflora,Yellow foxglove
Pontia edusa,Eastern Bath White
Tadorna ferruginea,Ruddy Shelduck
Tiphia femorata,Tiphia+femorata
Aphrophora alni,European alder spittlebug
Typha latifolia,Bulrush
Anabolia nervosa,Brown sedge
Trichoptera indet.,Trichoptera+indet.
Rhinanthus angustifolius,Greater Yellow rattle
Agrotis segetum,Turnip Moth
Carduus crispus,Curly plumeless thistle
Sicus ferrugineus,Sicus+ferrugineus
Idaea seriata,Small Dusty Wave
Mimulus guttatus,Seep monkeyflower
Aythya fuligula,Tufted Duck
Anax imperator,Blue Emperor
Genista tinctoria,Dyer's Greenweed
Caltha palustris,Marsh-marigold
Planorbarius corneus,Ramshorn snail
Sympecma fusca,Common Winter Damsel
Cinclus cinclus,White-throated Dipper
Xestia baja,Dotted Clay
Odonestis pruni,Plum Lappet
Macaria liturata,Tawny-barred Angle
Cuculus canorus,Common Cuckoo
Eumedonia eumedon,Geranium Argus
Lagria spec.,Lagria+spec.
Tholera decimalis,Feathered Gothic
Paederidus ruficollis,Paederidus+ruficollis
Carassius carassius,Crucian carp
Lathyrus vernus,Spring Pea
Cyclophora albipunctata,Birch Mocha
Martes foina/martes,Beech Marten
Pachytodes cerambyciformis,Pachytodes+cerambyciformis
Cyaniris semiargus,Mazarine Blue
Leontopodium alpinum,Leontopodium+alpinum
Potamogeton crispus,Curled Pondweed
Oxyura leucocephala,White-headed Duck
Pulsatilla alpina subsp. alba,Pulsatilla+alpina+subsp.+alba
Stratiomys chamaeleon,Stratiomys+chamaeleon
Panorpa vulgaris,Panorpa+vulgaris
Leptura annularis,Leptura+annularis
Dioctria cothurnata,Dioctria+cothurnata
Prenanthes purpurea,Purple Lettuce
Gentiana cruciata,Cross Gentian
Parthenocissus vitacea,False Virginia Creeper
Tachybaptus ruficollis,Little Grebe
Sphaerophoria scripta,Sphaerophoria+scripta
Centaurea spec.,Centaurea+spec.
Loxia curvirostra,Red Crossbill
Fallopia sachalinensis,Giant Knotweed
Thalpophila matura,Straw Underwing
Acleris variegana,Garden Rose Tortrix
Triodia sylvina,Orange Swift
Strix nebulosa,Great Grey Owl
Dactylorhiza majalis,Broad leaved Marsh Orchid s.l.
Euthystira brachyptera,Small Gold Grasshopper
Epirrhoe tristata,Small Argent and Sable
Atethmia centrago,Centre-barred Sallow
Arabis alpina subsp. alpina,Arabis+alpina+subsp.+alpina
Pterostoma palpina,Pale Prominent
Leucanthemum vulgare agg.,Leucanthemum+vulgare+agg.
Neovison vison,American Mink
Stictocephala bisonia,Buffalo Treehopper
Carterocephalus silvicola,Northern Chequered Skipper
Andrena denticulata,Grey-banded Mining Bee
Amata phegea,Nine-spotted Moth
Mentha arvensis + Mentha x verticillata (M. aquatica x arvensis),Mentha+arvensis+++Mentha+x+verticillata+(M.+aquatica+x+arvensis)
Calvia quatuordecimguttata,Cream-spot ladybird
Artemisia absinthium,Absinthium
Euphorbia stricta,Upright spurge
Eristalinus sepulchralis,Eristalinus+sepulchralis
Pyrausta despicata,Pyrausta+despicata
Verbascum nigrum,Dark Mullein
Plea minutissima,Plea+minutissima
Ononis spinosa,Restharrow
Noctua comes,Lesser Yellow Underwing
Anser anser forma domestica,Anser+anser+forma+domestica
Eutolmus rufibarbis,Eutolmus+rufibarbis
Apamea monoglypha,Dark Arches
Cybosia mesomella,Four-dotted Footman
Hipparchia semele,Grayling
Mareca strepera,Gadwall
Chilocorus bipustulatus,Heather ladybird
Endomychus coccineus,Endomychus+coccineus
Matteuccia struthiopteris,Ostrich fern
Scaeva pyrastri,Pied hoverfly
Eurydema ornata,Ornate Shieldbug
Coccinella quinquepunctata,5-spot Ladybird
Vicia cracca,Tufted Vetch
Hippodamia tredecimpunctata,13-spot Ladybird
Luperina testacea,Flounced Rustic
Ectemnius spec.,Ectemnius+spec.
Crabro cribrarius,Crabro+cribrarius
Vespula germanica,German Wasp
Laserpitium latifolium,Broad-leaved Sermountain
Geranium pratense,Meadow Crane's-bill
Lacanobia oleracea,Bright-line Brown-eye
Sorbus aucuparia,Mountain Ash
Lemna trisulca,Ivy Duckweed
Laothoe populi,Poplar Hawk-moth
Aegithalos caudatus,Long-tailed Tit
Lilium bulbiferum,Orange-lily
Noctua fimbriata,Broad-bordered Yellow Underwing
Myosotis arvensis,Field Forget-me-not
Erythromma viridulum,Small Redeye
Halictus sexcinctus sexcinctus,Halictus+sexcinctus+sexcinctus
Trifolium campestre,Hop Trefoil
Pyrrhula pyrrhula pyrrhula,Northern Bullfinch
Hydropsyche spec.,Hydropsyche+spec.
Elymus caninus,Bearded Couch grass
Phleum pratense,Timothy
Sinodendron cylindricum,Rhinoceros Beetle
Somatochlora flavomaculata,Yellow-spotted Emerald
Juncus tenuis,Poverty rush
Synaphe punctalis,Synaphe+punctalis
Habrosyne pyritoides,Buff Arches
Ascotis selenaria,Giant Looper
Sorex minutus,Eurasian Pygmy Shrew
Astrantia major,Great Masterwort
Biston betularia,Peppered Moth
Cybister lateralimarginalis,Cybister+lateralimarginalis
Hyphydrus ovatus,Hyphydrus+ovatus
Botrychium lunaria,Moonwort
Empetrum nigrum,Black crowberry
Axylia putris,Flame
Megachile spec.,Megachile+spec.
Coccinula quatuordecimpustulata,Coccinula 14-pustulata
Sesleria caerulea,Eastern Blue Moor grass
Heracleum mantegazzianum,Giant hogweed
Odezia atrata,Chimney Sweeper
Bombus sylvarum,Shrill Carder Bee
Viola biflora,Alpine Yellow-violet
Leptidea spec.,Leptidea+spec.
Gastrophysa viridula,Green Dock Beetle
Autographa bractea,Gold Spangle
Jaapiella veronicae,Jaapiella+veronicae
Leucorrhinia rubicunda,Ruby Whiteface
Cucullia scrophulariae,Water Betony
Xanthorhoe montanata,Silver-ground Carpet
Orthetrum albistylum,White-tailed Skimmer
Leptidea sinapis,Wood White
Blitum bonus-henricus,Good-King-Henry
Cupido argiades,Short-tailed Blue
Anatis ocellata,Eyed ladybird
Bombus veteranus,Bombus+veteranus
Elophila nymphaeata,Brown China-Mark
Orchis mascula subsp. speciosa,Orchis+mascula+subsp.+speciosa
Linaria cannabina cannabina,Common Linnet ssp cannabina
Scopula rubiginata,Tawny Wave
Dryobates minor hortorum,Lesser Spotted Woodpecker ssp hortorum
Mystacides longicornis,Mystacides+longicornis
Larus argentatus,European Herring Gull
Salvia verticillata,Whorled Clary
Crocallis elinguaria,Scalloped Oak
Ecpyrrhorrhoe rubiginalis,Ecpyrrhorrhoe+rubiginalis
Sambucus ebulus,Danewort
Argyresthia goedartella,Argyresthia+goedartella
