ScientificName,VernacularName
Lacanobia thalassina,Pale-shouldered Brocade
Vinca minor,Lesser Periwinkle
Dendrocopos syriacus,Syrian Woodpecker
Aythya marila,Greater Scaup
Persicaria vivipara,Alpine Bistort
Orgyia antiqua,Vapourer
Criorhina berberina,Criorhina+berberina
Carabus auratus,Carabus+auratus
Miltochrista miniata,Rosy Footman
Melanchra persicariae,Dot Moth
Plantago major,Greater Plantain
Tofieldia calyculata,Alpine asphodel
Eulia ministrana,Eulia+ministrana
Telekia speciosa,Yellow Oxeye
Bombus schrencki,Schrenck's Bumblebee
Dama dama,Fallow Deer
Xanthorhoe quadrifasiata,Large Twin-spot Carpet
Pseudeustrotia candidula,Shining Marbled
Peltis grossa,Peltis+grossa
Microtus arvalis,Common Vole
Subacronicta megacephala,Poplar Grey
Heliothis spec.,Heliothis+spec.
Anarta myrtilli,Anarta+myrtilli
Limnephilus spec.,Limnephilus+spec.
Xanthorhoe biriviata,Balsam Carpet
Stylurus flavipes,Yellow-legged Clubtail
Verbascum phoeniceum,Purple mullein
Bombus lapidarius,Large Red-tailed Bumblebee
Trifolium montanum,Mountain clover
Euzophera pinguis,Euzophera+pinguis
Trichophorum alpinum,Cotton Deergrass
Lithosia quadra,Four-spotted Footman
Callopistria juventina,The Latin
Macdunnoughia confusa,Dewick’s Plusia
Cyclophora punctaria,Maiden’s Blush
Aquila chrysaetos,Golden Eagle
Lestes dryas,Robust Spreadwing
Eristalis rupium,Eristalis+rupium
Enallagma cyathigerum,Common Bluet
Pyrausta aurata,Mint Moth
Iris sibirica,Siberian iris
Canis lupus / Canis familiaris,Wolf
Sorex spec.,Sorex+spec.
Apiaceae spec.,Apiaceae+spec.
Polyommatus daphnis,Meleager's Blue
Lonicera nigra,Lonicera+nigra
Xanthorhoe fluctuata,Garden Carpet
Evergestis pallidata,Evergestis+pallidata
Periparus ater ater,Coal Tit ssp ater
Eupeodus lapponicus,Bow-veined Eupeodes
Phyllonorycter leucographella,Firethorn Leaf Miner
Astacus astacus,Noble Crayfish
Microtus spec.,Microtus+spec.
Endotricha flammealis,Endotricha+flammealis
Drymonia obliterata,Drymonia+obliterata
Leucorrhinia albifrons,Dark Whiteface
Parasemia plantaginis,Wood Tiger
Idaea aversata,Riband Wave
Neomys fodiens,Eurasian Water Shrew
Silene acaulis,Moss campion
Oxytropis pilosa,Woolly Milkvetch
Scutellaria hastifolia,Norfolk Skullcap
Soricidae indet.,Soricidae+indet.
Eulithis prunata,Phoenix
Bena bicolorana,Scarce Silver-lines
Rhinanthus spec.,Rhinanthus+spec.
Platycheirus clypeatus,Platycheirus+clypeatus
Melanostoma mellinum,Melanostoma+mellinum
Platycheirus occultus,Platycheirus+occultus
Sphegina elegans,Sphegina+elegans
Neoascia tenur,Neoascia+tenur
Pyrophaena granditarsa,Pyrophaena+granditarsa
Orthonevra intermedia,Orthonevra+intermedia
Neoascia podagrica,Neoascia+podagrica
Megasyrphus erraticus,Megasyrphus+erraticus
Xanthandrus comtus,Xanthandrus+comtus
Sphaerophoria taeniata,Sphaerophoria+taeniata
Meliscaeva cinctella,Meliscaeva+cinctella
Sphegina nigra,Sphegina+nigra
Parhelophilus versicolor,Parhelophilus+versicolor
Sericomyia silentis,Sericomyia+silentis
Triglyphus primus,Triglyphus+primus
Chrysogaster solstitialis,Chrysogaster+solstitialis
Rhingia campestris,Rhingia+campestris
Chloromyia formosa,Broad Centurian
Conops flavipes,Conops+flavipes
Zygaena lonicerae,Narrow-bordered Five-spot Burnet
Syrphus vitripennis,Syrphus+vitripennis
Parasyrphus lineolus,Parasyrphus+lineolus
Pyrophaena rosarum,Pyrophaena+rosarum
Malva sylvestris,Common Mallow
Oplodontha viridula,Oplodontha+viridula
Cyclophora pendularia,Dingy Mocha
Syrphus torvus,Syrphus+torvus
Sorex araneus,Common Shrew
Parhelophilus frutetorum,Parhelophilus+frutetorum
Parhelophilus consimilis,Parhelophilus+consimilis
Rhyparochromus vulgaris,Rhyparochromus+vulgaris
Larix spec.,Larix+spec.
Selenia tetralunaria,Purple Thorn
Astragalus glycyphyllos,Licorice milkvetch
Datura stramonium,Thorn apple
Paragus pecchiolii,Paragus+pecchiolii
Felis catus,Domesticated Cat
Apodemus flavicollis,Yellow-necked Field Mouse
Sphaerophoria virgata,Sphaerophoria+virgata
Platycheirus fulviventris,Platycheirus+fulviventris
Populus alba,White poplar
Polypodium spec.,Polypodium+spec.
Azolla filiculoides,Water Fern
Brachypodium sylvaticum,False Brome
Pipiza notata,Pipiza+notata
Aeshna mixta,Migrant Hawker
Agrius convolvuli,Convolvulus Hawkmoth
Dendrocopos leucotos leucotos,White-backed Woodpecker ssp leucotos
Mecostethus parapleurus,Mecostethus+parapleurus
Udea lutealis,Udea+lutealis
Colias crocea,Clouded Yellow
Quercus spec.,Quercus+spec.
Lasiommata maera,Large Wall Brown
Onthophagus coenobita,Onthophagus+coenobita
Anthoxanthum odoratum,Sweet Vernal-grass
Trifolium fragiferum,Strawberry clover
Turdus iliacus,Redwing
Gasterosteus aculeatus,Three-spined stickleback
Sympetrum meridionale,Southern Darter
Eristalis oestracea,Eristalis+oestracea
Triglochin maritima,Sea Arrowgrass
Potamogeton nodosus,Loddon Pondweed
Nicrophorus vespilloides,Common Sexton Beetle
Setaria pumila,Yellow Bristle-grass
Vaccinium vitis-idaea,Cowberry
Crabronini indet.,Crabronini+indet.
Medicago x varia (M. falcata x sativa),Medicago+x+varia+(M.+falcata+x+sativa)
Lathyrus pratensis,Meadow Vetchling
Uloma spec.,Uloma+spec.
Colletes daviesanus/fodiens/similis,Davie's Colletes
Acanthosoma haemorrhoidale,Hawthorn Shield Bug
Dytiscus dimidiatus,Dytiscus+dimidiatus
Hyles euphorbiae,Spurge Hawk-moth
Papaver dubium,Blindeyes
Caragana arborescens,Siberian Pea tree
Reseda lutea,Wild Mignonette
Pyrrhula pyrrhula,Eurasian Bullfinch
Persicaria lapathifolia,Pale Persicaria
Rhodiola rosea,Rosewort
Phalaropus lobatus,Red-necked Phalarope
Branta leucopsis,Barnacle Goose
Polygala spec.,Polygala+spec.
Bufotes viridis,Green Toad
Portulaca oleracea,Common Purslane
Cirsium arvense,Creeping Thistle
Apoderus erythropterus,Apoderus+erythropterus
Ecdyonurus spec.,Ecdyonurus+spec.
Halichoerus grypus,Grey Seal
Hyles gallii,Bedstraw Hawk-moth
Crepis capillaris,Smooth Hawk's beard
Bombus hortorum,Garden Bumblebee
Certhia familiaris,Eurasian Treecreeper
Coscinia striata,Feathered Footman
Heriades truncorum,Large-headed Resin Bee
Agrimonia eupatoria,Agrimony
Anthidium manicatum,Common Wool Carder Bee
Malaxis monophyllos,White adder's mouth
Forficula auricularia,Common Earwig
Tringa stagnatilis,Marsh Sandpiper
Matricaria discoidea,Pineapple Weed
Urtica dioica,Common Nettle
Bombyliinae indet.,Bombyliinae+indet.
Satyrium w-album,White-letter Hairstreak
Monochamus spec.,Monochamus+spec.
Ochropacha duplaris,Common Lutestring
Pyronia tithonus,Gatekeeper
Lamiastrum galeobdolon subsp. argentatum,Lamiastrum+galeobdolon+subsp.+argentatum
Orobanche flava,Butterbur Broomrape
Apatura ilia f. clytie,Apatura+ilia+f.+clytie
Silene dioica,Red Campion
Pungitius pungitius,Tenspined stickleback
Salvia glutinosa,Sticky Clary
Eristalis arbustorum/abusiva,Eristalis+arbustorum
Pyrgus armoricanus,Oberthür's Grizzled Skipper
Anthyllis vulneraria,Kidney Vetch
Chrysops viduatus,Chrysops+viduatus
Tipula maxima,Tipula+maxima
Callidium violaceum,Callidium+violaceum
Andrena haemorrhoa,Orange-tailed Mining Bee
Gymnadenia odoratissima,Gymnadenia+odoratissima
Hamearis lucina,Duke Of Burgundy Fritillary
Apoderus coryli,Hazel Leaf Roller
Oulema duftschmidi/melanopus,Oulema+duftschmidi
Veronica serpyllifolia,Thyme Speedwell
Epitheca bimaculata,Eurasian Baskettail
Tritomegas sexmaculatus,Rambur's Pied Shieldbug
Stachys officinalis,Stachys+officinalis
Bombylius major,Dark-edged Bee-fly
Aquarius najas,River skater
Spatula clypeata,Northern Shoveler
Locustella fluviatilis,River Warbler
Anas crecca,Eurasian Teal
Rallus aquaticus,Water Rail
Anser albifrons,Greater White-fronted Goose
Dryas octopetala,Mountain Avens
Neottia nidus-avis,Bird's-nest Orchid
Phryganea spec.,Phryganea+spec.
Mustela nivalis,Least Weasel
Eumenes spec.,Eumenes+spec.
Boloria euphrosyne,Pearl-bordered Fritillary
Gallinula chloropus,Common Moorhen
Coenagrion hastulatum,Spearhead Bluet
Clostera pigra,Small Chocolate-tip
Scheuchzeria palustris,Rannoch-rush
Pyrgus malvae,Grizzled Skipper
Cryptocephalus cordiger,Cryptocephalus+cordiger
Leptura arcuata,Leptura+arcuata
Eupsilia transversa,Satellite
Anomala spec.,Anomala+spec.
Limnephilus lunatus,Limnephilus+lunatus
Formica spec.,Formica+spec.
Favonius quercus,Purple Hairstreak
Mononychus punctumalbum,Mononychus+punctumalbum
Agelastica alni,Alder Leaf Beetle
Acanthis cabaret,Lesser Redpoll
Succineidae indet.,Succineidae+indet.
Hippodamia variegata,Adonis' ladybird
Anasimyia interpuncta,Anasimyia+interpuncta
Phasia hemiptera,Phasia+hemiptera
Ephemera vulgata,Ephemera+vulgata
Thymus spec.,Thymus+spec.
Ovis gmelini musimon,European Mouflon
Potamophylax spec.,Potamophylax+spec.
Perizoma alchemillata,Small Rivulet
Baetidae indet.,Baetidae+indet.
Larus fuscus,Lesser Black-backed Gull
Anguis colchica,Eastern Slow Worm
Mimumesa spec.,Mimumesa+spec.
Lygistopterus sanguineus,Lygistopterus+sanguineus
Rhagium mordax,Blackspotted pliers support beetle
Physella acuta,Acute Bladder Snail
Sphecodes spec.,Sphecodes+spec.
Eurygaster testudinaria,Eurygaster+testudinaria
Saperda carcharias,Saperda+carcharias
Heptagenia fuscogrisea,Heptagenia+fuscogrisea
Pammene aurana,Pammene+aurana
Genista anglica,Petty Whin
Formica (Formica) spec.,Formica+(Formica)+spec.
Corynephorus canescens,Grey Hair grass
Leucanthemum spec.,Leucanthemum+spec.
Bombus pratorum,Early Bumblebee
Arenaria interpres,Ruddy Turnstone
Sericomyia bombiformis,Sericomyia+bombiformis
Phaonia angelicae,Phaonia+angelicae
Eristalis arbustorum,Eristalis+arbustorum
Cyphostethus tristriatus,Juniper Shield Bug
Calcarius lapponicus,Lapland Longspur
Calosoma inquisitor,Calosoma+inquisitor
Radix balthica,Wandering snail
Loxostege sticticalis,Loxostege+sticticalis
Sermylassa halensis,Sermylassa+halensis
Carex digitata,Fingered Sedge
Rhopalus subrufus,Rhopalus+subrufus
Dasysyrphus albostriatus,Dasysyrphus+albostriatus
Cosmia trapezina,Dun-bar
Sarcophaga spec.,Sarcophaga+spec.
Thalera fimbrialis,Sussex Emerald
Enargia paleacea,Angle-striped Sallow
Xestia sexstrigata,Six-striped Rustic
Phengaris teleius,Scarce Large Blue
Galeruca tanaceti,Galeruca+tanaceti
Galium mollugo,Hedge-bedstraw
Harpella forficella,Harpella+forficella
Noctua pronuba,Large Yellow Underwing
Xanthia icteritia,The Sallow
Armeria maritima,Thrift
Haliplus flavicollis,Haliplus+flavicollis
Parthenocissus spec.,Parthenocissus+spec.
Myrmus miriformis,Myrmus+miriformis
Rhyacophila spec.,Rhyacophila+spec.
Bithynia tentaculata,Common Bithynia
Luzula sylvatica,Great Woodrush
Echinops exaltatus,Globe-thistle
Hemiclepsis marginata,Hemiclepsis+marginata
Anthophila fabriciana,Nettle-tap
Anagallis arvensis,Scarlet Pimpernel
Hemipenthes morio,Hemipenthes+morio
Tetraloniella dentata,Dentate Long-horned Bee
Carduus personata,Carduus+personata
Calliphora vomitoria,Calliphora+vomitoria
Urocerus gigas,Giant Wood Wasp
Stauropus fagi,Lobster Moth
Leucozona glaucia,Leucozona+glaucia
Hydaticus seminiger,Hydaticus+seminiger
Cicerbita alpina,Alpine Blue sow thistle
Asplenium trichomanes,Common Spleenwort
Laccophilus poecilus,Laccophilus+poecilus
Lupinus polyphyllus,Garden Lupin
Graphoderus cinereus,Graphoderus+cinereus
Hydroglyphus geminus,Hydroglyphus+geminus
Martes martes,Pine Marten
Trifolium badium,Brown Clover
Heracleum sphondylium,Hogweed
Saxifraga granulata,Meadow Saxifrage
Dinoptera collaris,Dinoptera+collaris
Minois dryas,Dryad
Laphria flava,Laphria+flava
Temnostoma vespiforme,Temnostoma+vespiforme
Alosterna tabacicolor,Alosterna+tabacicolor
Eysarcoris aeneus,New Forest Shieldbug
Campanula alpina,Campanula+alpina
Fraxinus excelsior,Ash
Lloydia serotina,Lloydia+serotina
Eulithis populata,Northern Spinach
Amelanchier ovalis,Snowy Mespilus
Acronicta rumicis,Knot Grass
Galeopsis ladanum,Broad-leaved Hemp-nettle
Scabiosa ochroleuca,Cream pincushions
Tenthredo campestris,Tenthredo+campestris
Idaea biselata,Small Fan-footed Wave
Sedum alpestre,Sedum+alpestre
Bidens cernua,Nodding Bur marigold
Hydriomena furcata,July Highflyer
Cabera pusaria,Common White Wave
Arvicola amphibius/scherman,Eurasian Water Vole
Thlaspi arvense,Field Penny-cress
Hylotelephium telephium subsp. maximum,Great Stonecrop
Antennaria carpatica,Antennaria+carpatica
Pedicularis sceptrum-carolinum,Pedicularis+sceptrum-carolinum
Euphydryas aurinia,Marsh Fritillary
Mythimna ferrago,The Clay
Cheilosia fasciata,Cheilosia+fasciata
Polypogon tentacularia,Polypogon+tentacularia
Cepphis advenaria,Little Thorn
Eupithecia centaureata,Lime-speck Pug
Pimpinella major,Greater Burnet saxifrage
Myosurus minimus,Mousetail
Malacosoma neustria,Lackey Moth
Kiefferia pericarpiicola,Kiefferia+pericarpiicola
Dactylorhiza fuchsii subsp. fuchsii,Dactylorhiza+fuchsii+subsp.+fuchsii
Cirsium erisithales,Yellow Thistle
Strix aluco aluco,Tawny Owl ssp aluco
Primula auricula,Auricula
Caenis rivulorum,Caenis+rivulorum
Hylotelephium spec.,Hylotelephium+spec.
Viviparus viviparus,River snail
Catocala fulminea,Catocala+fulminea
Monopis monachella,Monopis+monachella
Vicia cassubica,Danzig Vetch
Neomys spec.,Neomys+spec.
Arabis glabra,Arabis+glabra
Pedicularis verticillata,Whorled lousewort
Rattus spec.,Rattus+spec.
Chrysops sepulcralis,Chrysops+sepulcralis
Pipiza noctiluca,Pipiza+noctiluca
Platycheirus europaeus,Platycheirus+europaeus
Pipizella viduata,Pipizella+viduata
Dianthus barbatus,Sweet-William
Veronica dillenii,Dillenius' speedwell
Coracias garrulus,European Roller
Ergates faber,Ergates+faber
Paragus finitimus,Paragus+finitimus
Conops quadrifasciatus,Conops+quadrifasciatus
Typhaeus typhoeus,Minotaur Beetle
Polygonatum verticillatum,Whorled Solomon's-seal
Erebia ligea,Arran Brown
Cardamine trifolia,Trefoil Cress
Gerris thoracicus,Gerris+thoracicus
Turdus torquatus alpestris,Ring Ouzel ssp alpestris
Antennaria dioica,Mountain Everlasting
Erysimum cheiranthoides,Treacle Mustard
Polystichum lonchitis,Holly Fern
Rapistrum rugosum,Bastard Cabbage
Phylloscopus collybita collybita,Common Chiffchaff ssp collybita
Bombycilla garrulus,Bohemian Waxwing
Strix uralensis macroura,Ural Owl ssp macroura
Cercopis vulnerata,Cercopis+vulnerata
Bupleurum longifolium,Bupleurum+longifolium
Pipiza spec.,Pipiza+spec.
Milvus migrans,Black Kite
Juncus inflexus,Hard Rush
Mus musculus,House Mouse
Trichius spec.,Trichius+spec.
Petasites hybridus,Pestilence wort
Calidris temminckii,Temminck's Stint
Cerapteryx graminis,Antler Moth
Corallorhiza trifida,Early Coralroot
Pamponerus germanicus,Pamponerus+germanicus
Pulsatilla pratensis,Pulsatilla+pratensis
Capreolus capreolus capreolus,European Roe Deer ssp capreolus
Locustella luscinioides,Savi's Warbler
Rhytidiadelphus squarrosus,Springy Turf-moss
Laspeyria flexula,Beautiful Hook-tip
Pelophylax lessonae,Pool Frog
Falco vespertinus,Red-footed Falcon
Asplenium viride,Green Spleenwort
Lathyrus spec.,Lathyrus+spec.
Campanula spec.,Campanula+spec.
Ribes alpinum,Mountain Currant
Martes foina,Beech Marten
Harmonia axyridis f. conspicua,Harmonia+axyridis+f.+conspicua
Cimbex femoratus,Cimbex
Leptophyes albovittata,Striped Bush-Cricket
Geranium purpureum,Little Robin
Chrysosplenium oppositifolium,Opposite-leaved Golden Saxifrage
Nymphalis polychloros,Large Tortoiseshell
Aglia tau,Tau Emperor
Cardamine amara,Large Bitter-cress
Triturus cristatus,Northern Crested Newt
Oulema spec.,Oulema+spec.
Agathomyia spec.,Agathomyia+spec.
Melanostoma spec.,Melanostoma+spec.
Phengaris nausithous,Dusky Large Blue
Sympetrum danae,Black Darter
Carex disticha,Brown Sedge
Tipula luna,Tipula+luna
Struthiopteris spicant,Hard-fern
Eurydema dominulus,Scarlet Shieldbug
Limosa limosa,Black-tailed Godwit
Lissotriton vulgaris,Smooth Newt
Medicago lupulina,Black Medick
Prunella modularis,Dunnock
Falco subbuteo,Eurasian Hobby
Vespula rufa,Red-banded Yellowjacket
Lullula arborea,Woodlark
Myotis daubentonii,Daubenton's Bat
Dianthus armeria,Deptford Pink
Lophophanes cristatus,Crested Tit
Brachypalpoides lentus,Brachypalpoides+lentus
Cardamine pentaphyllos,Five-leaflet Bitter-cress
Motacilla alba alba,White Wagtail ssp alba
Cheilosia urbana,Cheilosia+urbana
Senecio ovatus,Wood ragwort
Cheilosia velutina,Cheilosia+velutina
Juncus bufonius,Toad Rush
Zygoptera indet.,Zygoptera+indet.
Oenothera spec.,Oenothera+spec.
Cucujus cinnaberinus,Cucujus+cinnaberinus
Fagopyrum esculentum,Common buckwheat
Bombus campestris,Field Cuckoo Bee
Plantago major subsp. major,Greater Plantain
Accipiter gentilis,Northern Goshawk
Anthus pratensis,Meadow Pipit
Silaum silaus,Pepper Saxifrage
Lotus maritimus,Dragon's-teeth
Aphanes australis,Slender Parsley piert
Harmandiola tremulae,Harmandiola+tremulae
Egretta garzetta,Little Egret
Platanthera chlorantha,Greater Butterfly orchid
Salmo trutta,Atlantic trout
Chalcosyrphus nemorum,Chalcosyrphus+nemorum
Silurus glanis,Wels catfish
Trifolium spec.,Trifolium+spec.
Macaria notata,Peacock Moth
Macrosaccus robiniella,Leaf Blotch Miner Moth
Cheilosia pagana,Cheilosia+pagana
Helophilus affinis,Helophilus+affinis
Misgurnus fossilis,European weatherfish
Bombus rupestris,Red-tailed Cuckoo Bee
Bombus (Psithyrus) spec.,Bombus+(Psithyrus)+spec.
Eristalis intricaria,Eristalis+intricaria
Viola palustris,Marsh Violet
Hyponephele lycaon,Dusky Meadow Brown
Alca torda,Razorbill
Polystichum aculeatum,Polystichum aculeatum
Cupido minimus,Little Blue
Thymus pulegioides,Large Thyme
Perdix perdix perdix,Grey Partridge ssp perdix
Erinaceus roumanicus,Northern White-breasted Hedgehog
Chlidonias niger niger,Black Tern ssp niger
Lupinus luteus,Sweet Lupin
Pseudochorthippus montanus,Pseudochorthippus+montanus
Locustella naevia,Common Grasshopper Warbler
Apeira syringaria,Lilac Beauty
Colias hyale,Pale Clouded Yellow
Veronica beccabunga,Brooklime Speedwell
Chrysogaster cemiteriorum,Chrysogaster+cemiteriorum
Galium rotundifolium,Round leaved bedstraw
Peribatodes rhomboidaria,Willow Beauty
Leucorrhinia dubia,Small Whiteface
Haematopus ostralegus,Eurasian Oystercatcher
Fallopia japonica,Japanese Knotweed
Coccothraustes coccothraustes coccothraustes,Hawfinch ssp coccothraustes
Lilioceris lilii,Lily Beetle
Jacobaea alpina,Jacobaea+alpina
Carlina acaulis,Stemless Carline Thistle
Pinus mugo,Mugo pine
Potentilla recta,Erect Cinquefoil
Eristalis horticola,Eristalis+horticola
Mareca penelope,Eurasian Wigeon
Reduvius personatus,Masked Hunter
Aposeris spec.,Aposeris+spec.
Cryptocephalus spec.,Cryptocephalus+spec.
Neoascia meticulosa,Neoascia+meticulosa
Emberiza calandra calandra,Corn Bunting ssp calandra
Phlyctis argena,Whitewash lichen
Gypsophila repens,Alpine Gypsophila
Eristalis nemorum,Eristalis+nemorum
Osmoderma eremita,Osmoderma+eremita
Tyria jacobaeae,Cinnabar
Satyrium pruni,Black Hairstreak
Thuidium tamariscinum,Common Tamarisk-moss
Candelariella aurella,Hidden goldspeck lichen
Rubus saxatilis,Stone Bramble
Thalasseus sandvicensis,Sandwich Tern
Ciconia ciconia ciconia,White Stork ssp ciconia
Asio otus otus,Long-eared Owl ssp otus
Osmia caerulescens,Blue Mason Bee
Dendrocoptes medius medius,Middle Spotted Woodpecker ssp medius
Cephalanthera damasonium,White Helleborine
Radula complanata,Flat-leaved scalewort
Berberis spec.,Berberis+spec.
Buteo lagopus,Rough-legged Buzzard
Adalia bipunctata,2-spot Ladybird
Platystomos albinus,Platystomos+albinus
Scathophaga stercoraria,Yellow Dung Fly
Melanelixia subaurifera,Abraded camouflage lichen
Hydrocoloeus minutus,Little Gull
Papaver argemone,Pale Poppy
Sympetrum pedemontanum,Banded Darter
Pteridium aquilinum,Western brackenfern
Pulmonaria obscura,Suffolk Lungwort
Ceratomegilla undecimnotata,Ceratomegilla+undecimnotata
Populus nigra,Black Poplar
Bromus hordeaceus,Soft-brome
Dianthus spec.,Dianthus+spec.
Gyromitra esculenta,False Morel
Piptoporus betulinus,Birch Polypore
Hemaris tityus,Narrow-bordered Bee Hawk-moth
Phragmataecia castaneae,Reed Leopard
Carduus defloratus,Carduus+defloratus
Alopecurus pratensis,Meadow Foxtail
Acrocephalus palustris,Marsh Warbler
Geranium pyrenaicum,Hedgerow Crane's-bill
Clanga spec.,Clanga+spec.
Hypogymnia physodes,Hypogymnia+physodes
Ramalina fraxinea,Cartilage Lichen
Saxifraga aizoides,Yellow Saxifrage
Coloeus monedula monedula,Western Jackdaw ssp monedula
Galerida cristata,Crested Lark
Rorippa amphibia,Great Yellow-cress
Tethea or,Poplar Lutestring
Carex pairae,Carex+pairae
Campanula rapunculoides,Creeping bellflower
Bromus arvensis,Field brome
Variospora flavescens,Variospora+flavescens
Corvus corax corax,Northern Raven ssp corax
Sphinx ligustri,Privet Hawk-moth
Turritis glabra,Garden Arabis
Ribes nigrum,Black Currant
Plagodis dolabraria,Scorched Wing
Salamandra salamandra,Fire Salamander
Cosmorhoe ocellata,Purple Bar
Aeshna grandis,Brown Hawker
Eupithecia intricata,Freyer's Pug
Picus viridis viridis,European Green Woodpecker ssp viridis
Anas platyrhynchos forma domestica,Anas+platyrhynchos+forma+domestica
Athallia holocarpa,Athallia+holocarpa
Androsace obtusifolia,Androsace+obtusifolia
Veratrum lobelianum,Veratrum+lobelianum
Eristalis cryptarum,Eristalis+cryptarum
Acrocephalus arundinaceus arundinaceus,Great Reed Warbler ssp arundinaceus
Carex cespitosa,Carex+cespitosa
Erodium cicutarium,Common Stork's-bill
Anthoxanthum aristatum,Annual Vernal-grass
Pleurozium schreberi,Red-stemmed feather moss
Lathyrus niger,Black Pea
Cimbex luteus,Cimbex+luteus
Dianthus superbus,Superb Pink
Epipactis spec.,Epipactis+spec.
Prunus padus,Bird Cherry
Garrulus glandarius glandarius,Eurasian Jay ssp glandarius
Lecidella elaeochroma,Gray-green disc lichen
Circus aeruginosus aeruginosus,Western Marsh Harrier ssp aeruginosus
Frullania dilatata,Dilated Scalewort
Lysandra coridon,Chalk Hill Blue
Ostrinia palustralis,Ostrinia+palustralis
Anser serrirostris,Tundra Bean Goose
Limosa limosa limosa,Black-tailed Godwit ssp limosa
Tadorna tadorna,Common Shelduck
Lecanora carpinea,Lecanora+carpinea
Rhytidiadelphus triquetrus,Big Shaggy-moss
Hesperis matronalis,Dame's-violet
Sphagnum capillifolium,Small red peat moss
Polycauliona polycarpa,Pin-cushion sunburst lichen
Taleporia tubulosa,Taleporia+tubulosa
Sitta europaea caesia,Eurasian Nuthatch ssp caesia
Climacium dendroides,Northern tree moss
Parectopa robiniella,Locust Digitate Leafminer Moth
Cheilosia carbonaria,Cheilosia+carbonaria
Ranunculus sceleratus,Celery-leaved Buttercup
Rhinanthus minor,Yellow-rattle
Phoenicurus ochruros gibraltariensis,Black Redstart ssp gibraltariensis
Melampyrum arvense,Field Cow wheat
Anthriscus sylvestris,Cow Parsley
Carex spicata,Prickly sedge
Scopula nigropunctata,Sub-angled Wave
Cicuta virosa,Cowbane
Symphoricarpos spec.,Symphoricarpos+spec.
Secale cereale,Rye
Pyrausta nigrata,Pyrausta+nigrata
Aesculus hippocastanum,Horse-chestnut
Helianthemum nummularium,Common Rock-rose
Sympetrum depressiusculum,Spotted Darter
Viola reichenbachiana,Early Dog-violet
Soldanella spec.,Soldanella+spec.
Lycopodium complanatum,Complanate Clubmoss
Berula erecta,Lesser Water-parsnip
Allium scorodoprasum,Sand leek
Cheilosia vernalis,Cheilosia+vernalis
